Country,Operator,Network Code,Display Text
Ukraine,Ukranian Radion Sys (WellCOM),255-02,"WellCOM, FLASH"
United Arab Emirates,Etisalat,424-02,ETSLT
United Kingdom,O2,234-10,O2-UK
United Kingdom,Orange,234-33,Orange
United Kingdom,T-Mobile,"234-30,31,32",TMO UK
United Kingdom,Vodafone,234-15,voda
United States,AT&T Wireless,310-38,AT&T
United States,T-Mobile,"310-16,20-27,31,58,66,80",TMO
United States,Cingular,"310-15,17,41",CINGULAR
United States,Cincinnati Bell Wireless,310-42,CBW
Uzbekistan,Coscom,434-05,UZB Coscom
Uzbekistan,Daewoo Unitel Company,434-04,UZB Daewoo GSM
Uzbekistan,Uzdunrobita,434-07,UZB UZD
Uzbekistan,Uzmacom,434-02,UZMGSM
Venezuela,Digitel,734-02,VZ 02
Vietnam,Mobifone,452-01,VMS
Vietnam,Vinaphone,452-02,GPC
Yemen,Sabafon,421-01,SABAFON
Yemen,Spacetel,421-02,SPACETEL
Zambia,Celtel,645-01,ZM CELTEL
Zimbabwe,Econet,648-04,ZW ECONET
Zimbabwe,Net*One Cellular,648-01,ZW NET*ONE
*Limited interworking,,,
